,Наименование сырья/материала,Производитель,Номер серии,Срок годности,Номера протоколов анализов,Серия препарата,Дата
0,Дозирующий набор Clio,Comecer,FD00918,2027-10-01 00:00:00,CT-02618,S15301060124,2024-01-06
1,Капиллярный удлинитель Clio,Comecer,FС00113,2025-12-01 00:00:00,СТ-10629,S15301060124,2024-01-06
2,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220401,2024-04-01 00:00:00,СТ-00798,S15301060124,2024-01-06
3,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S15301060124,2024-01-06
4,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384, СТ-06385, СТ-06386, СТ-06387",S15301060124,2024-01-06
5,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S15301060124,2024-01-06
6,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S15301060124,2024-01-06
7,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S15301060124,2024-01-06
8,Стерильный шприц NORM-JECT,ABX,20G06C8,2025-07-01 00:00:00,–,S15301060124,2024-01-06
9,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S15301060124,2024-01-06
10,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S15301060124,2024-01-06
11,Картридж QMA,ABX,013632305A,2028-01-01 00:00:00,–,S15301060124,2024-01-06
12,Картридж SCX,ABX,M220629M02,2027-07-31 00:00:00,–,S15301060124,2024-01-06
13,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S15301060124,2024-01-06
14,Натрия хлорид,BBraun,31621022,2025-09-01 00:00:00,"65, 66, CТ-03123",S15301060124,2024-01-06
15,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S15301060124,2024-01-06
16,"Вода, обогащенная кислородом-18",ЦМИ,2311M022,2025-11-01 00:00:00,–,S15301060124,2024-01-06
17,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S15301060124,2024-01-06
0,Дозирующий набор Clio,Comecer,FD00527,2027-03-01 00:00:00,CT-09224,S16301071223,2023-12-07
1,Капиллярный удлинитель Clio,Comecer,FС00113,2025-12-01 00:00:00,СТ-10629,S16301071223,2023-12-07
2,Набор флаконов для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,SV-15C05-220401,2024-04-01 00:00:00,СТ-00798,S16301071223,2023-12-07
3,Набор колпачков для фасовки радиофармацевтического лекарственного препарата Huayi Isotopes Co,Huayi Isotopes,ACS-20E-220501,2024-05-01 00:00:00,СТ-06769,S16301071223,2023-12-07
4,"Набор реагентов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,230712001-1,2024-06-01 00:00:00,"80-88, СТ-06384, СТ-06385, СТ-06386, СТ-06387",S16301071223,2023-12-07
5,"Набор вспомогательных материалов для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,–,–,–,S16301071223,2023-12-07
6,"Вода для синтеза в шприце 
с Луер-пробкой 30 мл",ABX,W-230712003,2024-07-01 00:00:00,"89,90",S16301071223,2023-12-07
7,Стерильная игла BBraun,ABX,20L05G8851,2025-10-01 00:00:00,–,S16301071223,2023-12-07
8,Стерильный шприц NORM-JECT,ABX,20G06C8,2025-07-01 00:00:00,–,S16301071223,2023-12-07
9,Картридж Alumina B,ABX,0306300035B,2025-03-31 00:00:00,–,S16301071223,2023-12-07
10,Картридж Oasis,ABX,0170322335A,2028-01-01 00:00:00,–,S16301071223,2023-12-07
11,Картридж QMA,ABX,013632305A,2028-01-01 00:00:00,–,S16301071223,2023-12-07
12,Картридж SCX,ABX,M220629M02,2027-07-31 00:00:00,–,S16301071223,2023-12-07
13,Трифлат маннозы,ABX,TATМ-220708001-1,2024-05-01 00:00:00,"78,79,СТ-05567",S16301071223,2023-12-07
14,Натрия хлорид,BBraun,31621022,2025-09-01 00:00:00,"65, 66, CТ-03123",S16301071223,2023-12-07
15,"Процессор для синтеза радиофармацевтического лекарственного препарата «Фтордезоксиглюкоза, 18F»",ABX,SYN-ABX-221024809-2,2024-10-01 00:00:00,–,S16301071223,2023-12-07
16,"Вода, обогащенная кислородом-18",ЦМИ,2304M008,2025-04-01 00:00:00,–,S16301071223,2023-12-07
17,Вода для промывки линий доставки,ООО «Гротекс»,1081021,2024-11-01 00:00:00,СТ-00432,S16301071223,2023-12-07
0,Дозирующий набор Clio,Comecer,FD00527,2027-03-01 00:00:00,CT-09224,S16301081223,2023-12-08
1,Капиллярный удлинитель Clio,Comecer,FС00113,2025-12-01 00:00:00,СТ-10629,S16301081223,2023-12-08
